id,company_id,code,name,un_ece_code,un_ece_code_5305,table_code,description,value
currency_code_87,,LRD,Liberian Dollar,,,PE.CURRENCY.CODE,Liberia,
currency_code_88,,LSL,Loti,,,PE.CURRENCY.CODE,Lesoto,
currency_code_89,,LTL,Lithuanian Litas,,,PE.CURRENCY.CODE,Lituania,
currency_code_90,,LVL,Latvian Lats,,,PE.CURRENCY.CODE,Letonia,
currency_code_91,,LYD,Libyan Dinar,,,PE.CURRENCY.CODE,Libia,
currency_code_92,,MAD,Moroccan Dirham,,,PE.CURRENCY.CODE,Marruecos,
currency_code_93,,MDL,Moldovan Leu,,,PE.CURRENCY.CODE,Moldavia,
currency_code_94,,MGA,Malagasy Ariary,,,PE.CURRENCY.CODE,Madagascar,
currency_code_95,,MKD,Denar,,,PE.CURRENCY.CODE,Macedonia,
currency_code_96,,MMK,Kyat,,,PE.CURRENCY.CODE,Myanmar (Birmania),
currency_code_97,,MNT,Tugrik,,,PE.CURRENCY.CODE,Mongolia,
currency_code_98,,MOP,Pataca,,,PE.CURRENCY.CODE,Macao,
currency_code_99,,MRO,Ouguiya,,,PE.CURRENCY.CODE,Mauritania,
currency_code_100,,MUR,Mauritius Rupee,,,PE.CURRENCY.CODE,Mauricio,
currency_code_101,,MVR,Rufiyaa,,,PE.CURRENCY.CODE,Maldivas,
currency_code_102,,MWK,Kwacha,,,PE.CURRENCY.CODE,Malaui,
currency_code_103,,MXN,Mexican Peso,,,PE.CURRENCY.CODE,México,
currency_code_104,,MXV,Mexican Unidad de Inversion (UDI),,,PE.CURRENCY.CODE,México,
currency_code_105,,MYR,Malaysian Ringgit,,,PE.CURRENCY.CODE,Malasia,
currency_code_106,,MZN,Metical,,,PE.CURRENCY.CODE,Mozambique,
currency_code_107,,NAD,Namibia Dollar,,,PE.CURRENCY.CODE,Namibia,
currency_code_108,,NGN,Naira,,,PE.CURRENCY.CODE,Nigeria,
currency_code_109,,NIO,Cordoba Oro,,,PE.CURRENCY.CODE,Nicaragua,
currency_code_110,,NOK,Norwegian Krone,,,PE.CURRENCY.CODE,Noruega,
currency_code_111,,NPR,Nepalese Rupee,,,PE.CURRENCY.CODE,Nepal,
currency_code_112,,NZD,New Zealand Dollar,,,PE.CURRENCY.CODE,Nueva Zelanda,
currency_code_113,,OMR,Rial Omani,,,PE.CURRENCY.CODE,Omán,
currency_code_114,,PAB,Balboa,,,PE.CURRENCY.CODE,Panamá,
currency_code_115,,PEN,Nuevo Sol o Sol,,,PE.CURRENCY.CODE,Perú,
currency_code_116,,PGK,Kina,,,PE.CURRENCY.CODE,Papúa Nueva Guinea,
currency_code_117,,PHP,Philippine Peso,,,PE.CURRENCY.CODE,Filipinas,
currency_code_118,,PKR,Pakistan Rupee,,,PE.CURRENCY.CODE,Pakistán,
currency_code_119,,PLN,Zloty,,,PE.CURRENCY.CODE,Polonia,
currency_code_120,,PYG,Guarani,,,PE.CURRENCY.CODE,Paraguay,
currency_code_121,,QAR,Qatari Rial,,,PE.CURRENCY.CODE,Qatar,
currency_code_122,,RON,New Leu,,,PE.CURRENCY.CODE,Rumania,
currency_code_123,,RSD,Serbian Dinar,,,PE.CURRENCY.CODE,Serbia,
currency_code_124,,RUB,Russian Ruble,,,PE.CURRENCY.CODE,Rusia,
currency_code_125,,RWF,Rwanda Franc,,,PE.CURRENCY.CODE,Ruanda,
currency_code_126,,SAR,Saudi Riyal,,,PE.CURRENCY.CODE,Arabia Saudita,
currency_code_127,,SBD,Solomon Islands Dollar,,,PE.CURRENCY.CODE,Islas Salomón,
currency_code_128,,SCR,Seychelles Rupee,,,PE.CURRENCY.CODE,Seychelles,
currency_code_129,,SDG,Sudanese Pound,,,PE.CURRENCY.CODE,Sudán,
currency_code_130,,SEK,Swedish Krona,,,PE.CURRENCY.CODE,Suecia,
currency_code_131,,SGD,Singapore Dollar,,,PE.CURRENCY.CODE,Singapur,
currency_code_132,,SHP,Saint Helena Pound,,,PE.CURRENCY.CODE,Santa Helena,
currency_code_133,,SLL,Leone,,,PE.CURRENCY.CODE,Sierra Leona,
currency_code_134,,SOS,Somali Shilling,,,PE.CURRENCY.CODE,Somalia,
currency_code_135,,SRD,Surinam Dollar,,,PE.CURRENCY.CODE,Surinam,
currency_code_136,,STD,Dobra,,,PE.CURRENCY.CODE,Santo Tomé y Príncipe,
currency_code_137,,SVC,El Salvador Colon,,,PE.CURRENCY.CODE,El Salvador,
currency_code_138,,SYP,Syrian Pound,,,PE.CURRENCY.CODE,Siria,
currency_code_139,,SZL,Lilangeni,,,PE.CURRENCY.CODE,Suazilandia,
currency_code_140,,THB,Baht,,,PE.CURRENCY.CODE,Tailandia,
currency_code_141,,TJS,Somoni,,,PE.CURRENCY.CODE,Tayikistán,
currency_code_142,,TMT,Manat,,,PE.CURRENCY.CODE,Turkmenistán,
currency_code_143,,TND,Tunisian Dinar,,,PE.CURRENCY.CODE,Túnez,
currency_code_144,,TOP,Pa'anga,,,PE.CURRENCY.CODE,Tonga,
currency_code_145,,TRY,Turkish Lira,,,PE.CURRENCY.CODE,Turquía,
currency_code_146,,TTD,Trinidad and Tobago Dollar,,,PE.CURRENCY.CODE,Trinidad y Tobago,
currency_code_147,,TWD,New Taiwan Dollar,,,PE.CURRENCY.CODE,Taiwán,
currency_code_148,,TZS,Tanzanian Shilling,,,PE.CURRENCY.CODE,Tanzania,
currency_code_149,,UAH,Hryvnia,,,PE.CURRENCY.CODE,Ucrania,
currency_code_150,,UGX,Uganda Shilling,,,PE.CURRENCY.CODE,Uganda,
currency_code_151,,USD,US Dollar,,,PE.CURRENCY.CODE,Estados Unidos (EEUU),
currency_code_152,,USN,US Dollar (Next day),,,PE.CURRENCY.CODE,Estados Unidos (EEUU),
currency_code_153,,USS,US Dollar (Same day),,,PE.CURRENCY.CODE,Estados Unidos (EEUU),
currency_code_154,,UYI,Uruguay Peso en Unidades Indexadas,,,PE.CURRENCY.CODE,Uruguay,
currency_code_155,,UYU,Peso Uruguayo,,,PE.CURRENCY.CODE,Uruguay,
currency_code_156,,UZS,Uzbekistan Sum,,,PE.CURRENCY.CODE,Uzbekistán,
currency_code_157,,VEF,Bolivar Fuerte,,,PE.CURRENCY.CODE,Venezuela,
currency_code_158,,VND,Dong,,,PE.CURRENCY.CODE,Vietnam,
currency_code_159,,VUV,Vatu,,,PE.CURRENCY.CODE,Vanuatu,
currency_code_160,,WST,Tala,,,PE.CURRENCY.CODE,Samoa del Oeste,
currency_code_161,,XAF,CFA Franc BEAC ‡,,,PE.CURRENCY.CODE,-,
currency_code_162,,XAG,Silver,,,PE.CURRENCY.CODE,-,
currency_code_163,,XAU,Gold,,,PE.CURRENCY.CODE,-,
currency_code_164,,XBA,Bond Markets Units European Composite Unit (EURCO),,,PE.CURRENCY.CODE,-,
currency_code_165,,XBB,European Monetary Unit (E.M.U.-6),,,PE.CURRENCY.CODE,-,
currency_code_166,,XBC,European Unit of Account 9(E.U.A.-9),,,PE.CURRENCY.CODE,-,
currency_code_167,,XBD,European Unit of Account 17(E.U.A.-17),,,PE.CURRENCY.CODE,-,
currency_code_168,,XCD,East Caribbean Dollar,,,PE.CURRENCY.CODE,-,
currency_code_169,,XDR,SDR,,,PE.CURRENCY.CODE,-,
currency_code_170,,XFU,UIC-Franc,,,PE.CURRENCY.CODE,-,
currency_code_171,,XOF,CFA Franc BCEAO †,,,PE.CURRENCY.CODE,-,
currency_code_172,,XPD,Palladium,,,PE.CURRENCY.CODE,-,
currency_code_173,,XPF,CFP Franc,,,PE.CURRENCY.CODE,-,
currency_code_174,,XPT,Platinum,,,PE.CURRENCY.CODE,-,
currency_code_175,,YER,Yemeni Rial,,,PE.CURRENCY.CODE,Yemen,
currency_code_176,,ZAR,Rand,,,PE.CURRENCY.CODE,Sudáfrica,
currency_code_177,,ZMK,Zambian Kwacha,,,PE.CURRENCY.CODE,Zambia,
currency_code_178,,ZWL,Zimbabwe Dollar,,,PE.CURRENCY.CODE,Zimbabue,
pe_cpe_catalog3_1,,4A,Ampere per square centimetre                                               ,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_2,,BJ,Bucket,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_3,,BLL,Barrel                                              ,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_4,,BG,Bag                                                 ,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_5,,BO,Bottle,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_6,,BX,Box,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_7,,CT,Carton,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_8,,CMK,Square centimetre,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_9,,CMQ,Cubic centimeter,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_10,,CMT,Centimeter,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_11,,CEN,Hundred,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_12,,CY,Cylinder,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_13,,CJ,Cone,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_14,,DZN,Dozen,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_15,,DZP,Dozen pack                            ,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_16,,BE,Bundle,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_17,,GLI,Gallon (UK),,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_18,,GRM,Gram                                                 ,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_19,,GRO,Gross,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_20,,HLT,Hectoliter                                            ,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_21,,LEF,Leaf,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_22,,SET,Set,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_23,,KGM,Kilogram,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_24,,KTM,Kilometre                                             ,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_25,,KWH,Kilowatt hour,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_26,,KT,Kit,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_27,,CA,Can,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_28,,LBR,Pound,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_29,,LTR,Litre,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_30,,MWH,Megawatt hour (1000 kW.h),,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_31,,MTR,Metre,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_32,,MTK,Square metre,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_33,,MTQ,Cubic metre,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_34,,MGM,Milligram                                            ,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_35,,MLT,Millilitre                                             ,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_36,,MMT,Millimetre                                             ,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_37,,MMK,Square millimetre,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_38,,MMQ,Cubic millimetre,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_39,,MIL,Thousand,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_40,,UM,Million unit,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_41,,ONZ,Ounce,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_42,,PF,Pallet,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_43,,PK,Package,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_44,,PR,Pair,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_45,,FOT,Foot,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_46,,FTK,Square foot,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_47,,FTQ,Cubic foot,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_48,,C62,One,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_49,,PG,Plate,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_50,,ST,Sheet,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_51,,INH,Inch,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_52,,RM,Ream,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_53,,DR,Drum,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_54,,STN,Ton (US) or short ton (UK/US),,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_55,,LTN,Ton (UK) or longton (US),,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_56,,TNE,Tonne (metric ton),,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_57,,TU,Tube,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_58,,NIU,Units,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_59,,ZZ,Unit (services),,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_60,,GLL,Gallon (US),,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_61,,YRD,Yard,,,PE.CPE.CATALOG3,,
pe_cpe_catalog3_62,,YDK,Square yard,,,PE.CPE.CATALOG3,,
pe_cpe_catalog5_1,,1000,IGV,VAT,S,PE.CPE.CATALOG5,Igv impuesto general a las ventas,
pe_cpe_catalog5_2,,2000,ISC,EXC,S,PE.CPE.CATALOG5,Isc impuesto selectivo al consumo,
pe_cpe_catalog5_4,,9995,EXP,FRE,G,PE.CPE.CATALOG5,Exportación,
pe_cpe_catalog5_5,,9996,GRA,FRE,Z,PE.CPE.CATALOG5,Gratuito,
pe_cpe_catalog5_6,,9997,EXO,VAT,E,PE.CPE.CATALOG5,Exonerado,
pe_cpe_catalog5_7,,9998,INA,FRE,O,PE.CPE.CATALOG5,Inafecto,
pe_cpe_catalog5_3,,9999,OTR,OTH,S,PE.CPE.CATALOG5,Otros conceptos de pago,
pe_cpe_catalog5_8,,1016,IVAP,VAT,,PE.CPE.CATALOG5,Impuesto a la venta arroz pilado,
pe_cpe_catalog5_9,,7152,ICBPER,OTH,,PE.CPE.CATALOG5,Impuesto al Consumo de las bolsas de plástico,
pe_cpe_catalog7_1,,10,Gravado - Operación Onerosa,,,PE.CPE.CATALOG7,,
pe_cpe_catalog7_2,,11,Gravado - Retiro por premio,,,PE.CPE.CATALOG7,,
pe_cpe_catalog7_3,,12,Gravado - Retiro por donación,,,PE.CPE.CATALOG7,,
pe_cpe_catalog7_4,,13,Gravado - Retiro,,,PE.CPE.CATALOG7,,
pe_cpe_catalog7_5,,14,Gravado - Retiro por publicidad,,,PE.CPE.CATALOG7,,
pe_cpe_catalog7_6,,15,Gravado - Bonificaciones,,,PE.CPE.CATALOG7,,
pe_cpe_catalog7_7,,16,Gravado - Retiro por entrega a trabajadores,,,PE.CPE.CATALOG7,,
pe_cpe_catalog7_8,,20,Exonerado - Operación Onerosa,,,PE.CPE.CATALOG7,,
pe_cpe_catalog7_9,,21,Exonerado – Transferencia gratuita,,,PE.CPE.CATALOG7,,
pe_cpe_catalog7_10,,30,Inafecto - Operación Onerosa,,,PE.CPE.CATALOG7,,
pe_cpe_catalog7_11,,31,Inafecto - Retiro por bonificación,,,PE.CPE.CATALOG7,,
pe_cpe_catalog7_12,,32,Inafecto - Retiro,,,PE.CPE.CATALOG7,,
pe_cpe_catalog7_13,,33,Inafecto - Retiro por muestras médicas,,,PE.CPE.CATALOG7,,
pe_cpe_catalog7_14,,34,Inafecto - Retiro por convenio colectivo,,,PE.CPE.CATALOG7,,
pe_cpe_catalog7_15,,35,Inafecto - Retiro por premio,,,PE.CPE.CATALOG7,,
pe_cpe_catalog7_16,,36,Inafecto - Retiro por publicidad,,,PE.CPE.CATALOG7,,
pe_cpe_catalog7_17,,40,Exportación,,,PE.CPE.CATALOG7,,
pe_cpe_catalog8_1,,01,"Sistema al valor (Apendice IV, lit. A – T.U.O IGV e ISC) ",,,PE.CPE.CATALOG8,,
pe_cpe_catalog8_2,,02,"Aplicacion del Monto Fijo (Apendice IV, lit. B – T.U.O IGV e ISC)",,,PE.CPE.CATALOG8,,
pe_cpe_catalog8_3,,03,"Sistema de Precios de Venta al Publico (Apendice IV, lit C – TUO IGV e ISC)",,,PE.CPE.CATALOG8,,
pe_cpe_catalog9_1,,01,Anulación de la Operación,,,PE.CPE.CATALOG9,,
pe_cpe_catalog9_2,,02,Anulación por error en el RUC,,,PE.CPE.CATALOG9,,
pe_cpe_catalog9_3,,03,Corrección por error en la descripción,,,PE.CPE.CATALOG9,,
pe_cpe_catalog9_4,,04,Descuento Global,,,PE.CPE.CATALOG9,,
pe_cpe_catalog9_5,,05,Descuento por item,,,PE.CPE.CATALOG9,,
pe_cpe_catalog9_6,,06,Devolución total,,,PE.CPE.CATALOG9,,
pe_cpe_catalog9_7,,07,Devolución por item,,,PE.CPE.CATALOG9,,
pe_cpe_catalog9_8,,08,Bonificación,,,PE.CPE.CATALOG9,,
pe_cpe_catalog9_9,,09,Disminución en el valor,,,PE.CPE.CATALOG9,,
pe_cpe_catalog9_10,,10,Otros conceptos,,,PE.CPE.CATALOG9,,
pe_cpe_catalog10_1,,01,Intereses por mora,,,PE.CPE.CATALOG10,,
pe_cpe_catalog10_2,,02,Aumento del valor,,,PE.CPE.CATALOG10,,
pe_cpe_catalog10_3,,03,Penalidades/ otros conceptos,,,PE.CPE.CATALOG10,,
pe_cpe_catalog11_1,,01,Gravado,,,PE.CPE.CATALOG11,,
pe_cpe_catalog11_2,,02,Exonerado,,,PE.CPE.CATALOG11,,
pe_cpe_catalog11_3,,03,Inafecto,,,PE.CPE.CATALOG11,,
pe_cpe_catalog11_4,,04,Exportación,,,PE.CPE.CATALOG11,,
pe_cpe_catalog11_5,,05,Gratuitas,,,PE.CPE.CATALOG11,,
